Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,team,date
Jason Kapono,1:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIA,20060615
Michael Doleac,1:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIA,20060615
Jason Terry,50:17:00,13,23,0.565,4,9,0.444,5,5,1,1,4,5,1,1,0,4,2,35,4,DAL,20060618
Josh Howard,50:03:00,8,17,0.471,0,3,0,9,11,0.818,5,5,10,3,0,0,3,4,25,4,DAL,20060618
Dirk Nowitzki,49:02:00,8,19,0.421,0,4,0,4,5,0.8,2,6,8,3,0,0,2,4,20,-1,DAL,20060618
Devin Harris,33:58:00,2,12,0.167,0,1,0,2,2,1,0,1,1,1,1,0,0,5,6,-3,DAL,20060618
DeSagana Diop,20:47,1,2,0.5,0,0,0,0,0,0,1,3,4,0,0,0,0,6,2,7,DAL,20060618
Erick Dampier,19:20,2,2,1,0,0,0,1,2,0.5,0,8,8,0,0,0,2,5,5,-1,DAL,20060618
Adrian Griffin,15:21,1,2,0.5,0,0,0,0,0,0,1,1,2,1,1,0,1,3,2,-16,DAL,20060618
Marquis Daniels,13:58,2,3,0.667,1,1,1,0,0,0,0,0,0,4,0,0,1,3,5,8,DAL,20060618
Didier Ilunga-Mbenga,7:44,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,4,0,0,DAL,20060618
Keith Van Horn,4:31,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2,0,-7,DAL,20060618
Dwyane Wade,50:06:00,11,28,0.393,0,2,0,21,25,0.84,0,4,4,4,3,0,3,1,43,1,MIA,20060618
Shaquille O'Neal,47:22:00,8,12,0.667,0,0,0,2,12,0.167,2,10,12,1,2,0,3,5,18,-7,MIA,20060618
Udonis Haslem,29:26:00,1,3,0.333,0,0,0,0,0,0,2,2,4,0,0,0,1,6,2,-16,MIA,20060618
Antoine Walker,26:09:00,2,7,0.286,1,4,0.25,1,2,0.5,0,2,2,2,0,0,2,4,6,10,MIA,20060618
Jason Williams,26:01:00,3,6,0.5,3,5,0.6,0,1,0,0,1,1,4,0,0,1,1,9,1,MIA,20060618
James Posey,44:19:00,2,6,0.333,2,5,0.4,4,4,1,2,4,6,0,2,0,1,5,10,4,MIA,20060618
Gary Payton,30:09:00,3,5,0.6,1,1,1,1,1,1,0,2,2,2,0,0,0,4,8,0,MIA,20060618
Shandon Anderson,7:16,1,2,0.5,0,0,0,2,2,1,1,0,1,1,0,0,0,0,4,8,MIA,20060618
Alonzo Mourning,4:11,0,0,0,0,0,0,1,2,0.5,0,1,1,0,0,0,0,0,1,4,MIA,20060618
Dwyane Wade,45:24:00,10,18,0.556,0,0,0,16,21,0.762,3,7,10,5,4,3,5,4,36,9,MIA,20060620
Udonis Haslem,40:30:00,8,13,0.615,0,0,0,1,4,0.25,4,6,10,1,2,0,3,3,17,12,MIA,20060620
Antoine Walker,33:30:00,6,17,0.353,0,6,0,2,3,0.667,3,8,11,2,1,1,0,2,14,-4,MIA,20060620
Jason Williams,30:27:00,1,7,0.143,1,7,0.143,0,0,0,0,1,1,7,0,0,2,0,3,9,MIA,20060620
Shaquille O'Neal,30:19:00,4,11,0.364,0,0,0,1,4,0.25,3,9,12,1,0,1,2,5,9,-7,MIA,20060620
James Posey,25:13:00,2,5,0.4,1,4,0.25,1,2,0.5,0,5,5,0,2,0,3,2,6,0,MIA,20060620
Gary Payton,17:51,1,3,0.333,0,1,0,0,0,0,0,1,1,2,0,0,2,3,2,-6,MIA,20060620
Alonzo Mourning,14:03,3,4,0.75,0,0,0,2,3,0.667,1,5,6,0,0,5,1,4,8,11,MIA,20060620
Shandon Anderson,2:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-9,MIA,20060620
Dirk Nowitzki,47:02:00,10,22,0.455,1,2,0.5,8,8,1,3,12,15,2,0,2,1,5,29,-3,DAL,20060620
Jason Terry,43:00:00,7,25,0.28,2,11,0.182,0,0,0,0,1,1,5,2,0,2,1,16,-3,DAL,20060620
Josh Howard,30:16:00,5,16,0.313,0,2,0,4,4,1,3,9,12,0,4,1,1,5,14,10,DAL,20060620
Devin Harris,25:53:00,2,4,0.5,0,0,0,2,3,0.667,3,0,3,4,2,0,4,5,6,-3,DAL,20060620
DeSagana Diop,16:05,1,3,0.333,0,0,0,0,1,0,0,4,4,1,0,2,0,3,2,7,DAL,20060620
Jerry Stackhouse,29:17:00,5,13,0.385,2,6,0.333,0,0,0,1,3,4,3,2,1,3,5,12,-14,DAL,20060620
Erick Dampier,24:52:00,0,1,0,0,0,0,1,2,0.5,3,5,8,0,1,1,2,2,1,-8,DAL,20060620
Marquis Daniels,18:02,4,6,0.667,0,1,0,4,5,0.8,2,0,2,1,0,0,0,2,12,3,DAL,20060620
Adrian Griffin,4:20,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,-1,DAL,20060620
Didier Ilunga-Mbenga,1:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,DAL,20060620
Dwyane Wade,33:02:00,7,16,0.438,0,1,0,7,7,1,0,2,2,3,1,1,5,5,21,-7,MIA,20070421
Jason Williams,30:26:00,3,8,0.375,2,5,0.4,1,1,1,0,2,2,3,3,1,1,1,9,3,MIA,20070421
Shaquille O'Neal,26:49:00,9,14,0.643,0,0,0,1,3,0.333,2,4,6,3,0,1,2,6,19,-6,MIA,20070421
Udonis Haslem,24:36:00,4,6,0.667,0,0,0,3,4,0.75,0,6,6,0,0,1,0,3,11,-11,MIA,20070421
Eddie Jones,23:37,0,4,0,0,4,0,2,2,1,0,3,3,0,1,0,1,4,2,-4,MIA,20070421
Antoine Walker,30:10:00,5,14,0.357,4,7,0.571,6,6,1,1,2,3,3,0,1,1,5,20,14,MIA,20070421
James Posey,27:51:00,2,3,0.667,1,2,0.5,0,0,0,0,2,2,0,0,0,0,3,5,4,MIA,20070421
Jason Kapono,15:57,1,4,0.25,0,0,0,2,2,1,0,4,4,1,0,0,0,2,4,-2,MIA,20070421
Alonzo Mourning,13:58,0,1,0,0,0,0,0,2,0,1,3,4,1,0,0,0,0,0,-9,MIA,20070421
Gary Payton,13:33,0,3,0,0,1,0,0,0,0,0,1,1,3,0,0,2,2,0,-7,MIA,20070421
Luol Deng,45:41:00,14,22,0.636,0,0,0,5,5,1,2,6,8,2,1,1,1,3,33,7,CHI,20070421
Ben Wallace,44:34:00,2,6,0.333,0,0,0,0,2,0,6,8,14,1,0,1,2,2,4,8,CHI,20070421
Ben Gordon,43:10:00,7,19,0.368,0,5,0,10,11,0.909,1,6,7,11,1,0,5,2,24,16,CHI,20070421
Kirk Hinrich,19:22,1,7,0.143,0,4,0,0,0,0,0,2,2,3,1,0,4,5,2,-7,CHI,20070421
P.J. Brown,13:42,1,2,0.5,0,0,0,0,0,0,2,3,5,2,0,0,0,4,2,2,CHI,20070421
Andres Nocioni,30:06:00,6,15,0.4,2,6,0.333,3,3,1,0,4,4,2,0,2,1,4,17,1,CHI,20070421
Thabo Sefolosha,17:43,3,6,0.5,1,2,0.5,2,2,1,2,2,4,2,1,0,0,1,9,8,CHI,20070421
Chris Duhon,15:55,0,2,0,0,0,0,3,4,0.75,0,1,1,4,0,0,0,2,3,-7,CHI,20070421
Tyrus Thomas,9:47,1,3,0.333,0,0,0,0,0,0,0,1,1,0,0,2,0,1,2,-3,CHI,20070421
Dwight Howard,44:02:00,5,8,0.625,0,0,0,3,11,0.273,5,14,19,3,0,3,6,4,13,-13,ORL,20070421
Hedo Turkoglu,41:20:00,8,13,0.615,1,1,1,0,1,0,0,1,1,3,2,1,4,3,17,-8,ORL,20070421
Grant Hill,33:09:00,4,8,0.5,0,0,0,6,8,0.75,0,4,4,5,1,0,3,3,14,-9,ORL,20070421
Jameer Nelson,31:18:00,4,9,0.444,0,2,0,2,2,1,0,1,1,3,2,0,3,6,10,-5,ORL,20070421
Tony Battie,24:07:00,4,6,0.667,0,0,0,0,2,0,1,3,4,0,0,0,0,2,8,-14,ORL,20070421
Darko Milicic,27:03:00,5,6,0.833,0,0,0,4,7,0.571,2,2,4,1,0,0,1,3,14,7,ORL,20070421
Keyon Dooling,17:10,3,7,0.429,1,2,0.5,2,3,0.667,0,2,2,0,1,0,1,1,9,-2,ORL,20070421
Carlos Arroyo,14:23,2,3,0.667,0,0,0,0,0,0,1,1,2,1,0,0,1,1,4,0,ORL,20070421
Trevor Ariza,7:28,1,2,0.5,0,0,0,1,2,0.5,1,1,2,2,0,0,1,1,3,4,ORL,20070421
Richard Hamilton,43:27:00,9,19,0.474,0,0,0,4,6,0.667,2,2,4,4,1,0,0,3,22,8,DET,20070421
Chauncey Billups,40:32:00,5,13,0.385,1,6,0.167,11,12,0.917,0,4,4,11,2,1,5,5,22,18,DET,20070421
Tayshaun Prince,36:38:00,4,7,0.571,0,0,0,4,6,0.667,0,2,2,6,0,1,2,2,12,8,DET,20070421
Rasheed Wallace,35:07:00,6,12,0.5,3,5,0.6,1,2,0.5,1,5,6,1,1,0,0,3,16,14,DET,20070421
Chris Webber,33:04:00,5,7,0.714,0,0,0,2,3,0.667,1,4,5,1,0,0,1,2,12,4,DET,20070421
Antonio McDyess,19:42,2,6,0.333,0,0,0,1,2,0.5,4,5,9,2,1,1,0,5,5,6,DET,20070421
Carlos Delfino,15:55,4,6,0.667,1,2,0.5,0,0,0,1,1,2,1,1,0,1,2,9,0,DET,20070421
Lindsey Hunter,7:28,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,-10,DET,20070421
Dale Davis,4:16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-2,DET,20070421
Jason Maxiell,3:51,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,-6,DET,20070421
Deron Williams,43:00:00,7,19,0.368,0,5,0,1,2,0.5,0,9,9,9,3,0,4,1,15,-5,UTA,20070421
Carlos Boozer,39:28:00,4,17,0.235,0,0,0,3,6,0.5,4,8,12,1,1,0,4,3,11,-11,UTA,20070421
Mehmet Okur,36:27:00,2,14,0.143,2,7,0.286,0,2,0,3,6,9,1,2,0,0,3,6,-6,UTA,20070421
Derek Fisher,34:13:00,6,11,0.545,2,3,0.667,1,1,1,0,4,4,2,0,0,1,2,15,-12,UTA,20070421
Andrei Kirilenko,15:57,1,3,0.333,0,0,0,0,2,0,1,0,1,1,1,1,0,1,2,-6,UTA,20070421
Matt Harpring,32:03:00,7,14,0.5,0,0,0,0,0,0,3,5,8,0,0,1,2,6,14,-3,UTA,20070421
Gordan Giricek,18:47,2,5,0.4,0,2,0,2,2,1,0,1,1,1,0,0,0,2,6,-1,UTA,20070421
Paul Millsap,13:10,1,2,0.5,0,0,0,2,2,1,1,0,1,0,1,0,0,3,4,3,UTA,20070421
Jarron Collins,6:55,1,2,0.5,0,0,0,0,0,0,2,1,3,0,0,0,0,1,2,-4,UTA,20070421
Rafer Alston,46:30:00,3,11,0.273,3,10,0.3,0,0,0,1,10,11,8,2,0,3,4,9,10,HOU,20070421
Tracy McGrady,40:17:00,8,17,0.471,3,5,0.6,4,6,0.667,0,4,4,7,1,2,4,0,23,7,HOU,20070421
Yao Ming,35:29:00,8,18,0.444,0,0,0,12,14,0.857,4,9,13,0,1,1,4,2,28,-1,HOU,20070421
Shane Battier,31:02:00,2,7,0.286,2,6,0.333,0,0,0,0,2,2,1,1,0,1,4,6,7,HOU,20070421
Chuck Hayes,28:14:00,2,3,0.667,0,0,0,0,0,0,1,8,9,0,1,1,0,4,4,11,HOU,20070421
Luther Head,26:19:00,2,8,0.25,1,6,0.167,1,2,0.5,0,4,4,3,1,1,0,2,6,6,HOU,20070421
Juwan Howard,24:00:00,2,5,0.4,0,0,0,4,4,1,0,3,3,0,1,0,2,0,8,2,HOU,20070421
Dikembe Mutombo,8:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,HOU,20070421
Richard Jefferson,39:31:00,11,21,0.524,2,4,0.5,4,5,0.8,1,4,5,0,2,1,2,1,28,4,NJN,20070421
Jason Kidd,38:06:00,3,11,0.273,1,8,0.125,1,2,0.5,3,7,10,15,2,0,3,3,8,1,NJN,20070421
Jason Collins,34:19:00,3,3,1,0,0,0,0,2,0,3,2,5,0,0,0,0,3,6,-12,NJN,20070421
Vince Carter,33:13:00,5,19,0.263,1,3,0.333,5,8,0.625,0,7,7,3,1,3,3,4,16,-11,NJN,20070421
Mikki Moore,28:08:00,3,8,0.375,0,0,0,3,4,0.75,3,4,7,0,2,1,1,4,9,15,NJN,20070421
Bostjan Nachbar,28:59:00,5,11,0.455,2,4,0.5,4,4,1,1,4,5,4,0,0,0,0,16,10,NJN,20070421
Antoine Wright,15:06,3,6,0.5,0,1,0,0,0,0,1,2,3,0,1,1,1,0,6,12,NJN,20070421
Josh Boone,12:42,1,1,1,0,0,0,1,1,1,1,1,2,1,0,1,1,1,3,2,NJN,20070421
Marcus Williams,9:55,2,5,0.4,0,2,0,0,0,0,0,2,2,2,0,0,1,1,4,4,NJN,20070421
Hassan Adams,0:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NJN,20070421
Anthony Parker,41:51:00,5,12,0.417,4,7,0.571,2,4,0.5,1,8,9,0,3,0,2,4,16,2,TOR,20070421
Joey Graham,35:17:00,2,5,0.4,0,0,0,0,0,0,0,4,4,1,0,0,2,4,4,4,TOR,20070421
Chris Bosh,33:55:00,7,16,0.438,0,1,0,8,10,0.8,0,5,5,3,1,0,1,3,22,14,TOR,20070421
T.J. Ford,27:00:00,8,13,0.615,0,1,0,5,6,0.833,1,1,2,2,1,1,3,1,21,-11,TOR,20070421
Rasho Nesterovic,18:34,1,5,0.2,0,0,0,0,0,0,4,6,10,3,0,1,1,0,2,-9,TOR,20070421
Kris Humphries,24:06:00,2,4,0.5,0,0,0,1,2,0.5,2,4,6,0,1,1,0,4,5,3,TOR,20070421
Jose Calderon,21:00,5,14,0.357,2,3,0.667,1,1,1,1,2,3,8,0,0,1,1,13,6,TOR,20070421
Andrea Bargnani,15:59,1,4,0.25,0,2,0,1,2,0.5,0,2,2,1,0,0,2,2,3,-17,TOR,20070421
Juan Dixon,15:35,2,5,0.4,1,3,0.333,0,0,0,0,0,0,1,0,0,2,1,5,-11,TOR,20070421
Morris Peterson,6:44,0,2,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,-6,TOR,20070421
Antonio Daniels,45:53:00,3,7,0.429,0,2,0,3,4,0.75,1,6,7,11,1,0,2,2,9,-15,WAS,20070422
Antawn Jamison,45:27:00,10,27,0.37,1,6,0.167,7,11,0.636,5,9,14,2,1,1,1,4,28,-16,WAS,20070422
Jarvis Hayes,40:05:00,6,15,0.4,2,5,0.4,4,5,0.8,1,1,2,2,0,0,0,3,18,-11,WAS,20070422
DeShawn Stevenson,35:30:00,3,12,0.25,2,4,0.5,1,2,0.5,0,3,3,1,0,2,2,0,9,-14,WAS,20070422
Etan Thomas,20:58,1,4,0.25,0,0,0,0,0,0,0,5,5,0,0,1,3,4,2,-10,WAS,20070422
Darius Songaila,16:49,3,5,0.6,0,1,0,2,2,1,0,1,1,1,0,0,1,6,8,-14,WAS,20070422
Michael Ruffin,15:21,0,1,0,0,0,0,0,0,0,3,1,4,0,2,0,0,1,0,5,WAS,20070422
Roger Mason,9:02,2,3,0.667,1,1,1,1,1,1,0,0,0,0,1,0,2,2,6,1,WAS,20070422
Brendan Haywood,5:05,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,-3,WAS,20070422
Andray Blatche,3:43,1,2,0.5,0,0,0,0,0,0,1,1,2,0,0,0,0,1,2,2,WAS,20070422
Donell Taylor,2:07,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,WAS,20070422
Larry Hughes,44:55:00,9,17,0.529,1,4,0.25,8,8,1,0,7,7,1,2,1,4,3,27,17,CLE,20070422
LeBron James,44:19:00,7,14,0.5,0,2,0,9,11,0.818,2,7,9,7,2,0,1,1,23,17,CLE,20070422
Zydrunas Ilgauskas,35:02:00,4,7,0.571,0,0,0,8,10,0.8,1,7,8,1,1,1,2,3,16,20,CLE,20070422
Drew Gooden,28:25:00,5,10,0.5,0,0,0,0,0,0,1,5,6,3,0,1,2,2,10,9,CLE,20070422
Sasha Pavlovic,27:32:00,3,9,0.333,1,2,0.5,2,2,1,1,1,2,0,2,0,1,4,9,4,CLE,20070422
Anderson Varejao,25:49:00,1,5,0.2,0,1,0,3,8,0.375,4,6,10,2,0,0,1,2,5,7,CLE,20070422
Eric Snow,22:05,2,5,0.4,0,1,0,0,0,0,0,1,1,2,0,0,0,1,4,9,CLE,20070422
Donyell Marshall,5:46,1,3,0.333,1,3,0.333,0,0,0,1,2,3,0,0,0,0,3,3,-7,CLE,20070422
Ira Newble,5:20,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,CLE,20070422
Daniel Gibson,0:48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,CLE,20070422
Stephen Jackson,44:45:00,9,18,0.5,3,7,0.429,2,2,1,1,4,5,4,2,1,3,3,23,15,GSW,20070422
Baron Davis,44:18:00,11,20,0.55,4,7,0.571,7,8,0.875,2,12,14,8,3,1,3,4,33,17,GSW,20070422
Jason Richardson,41:10:00,5,12,0.417,1,7,0.143,2,4,0.5,2,4,6,0,0,1,4,4,13,9,GSW,20070422
Al Harrington,37:53:00,3,14,0.214,0,3,0,1,2,0.5,6,4,10,1,0,0,1,4,7,21,GSW,20070422
Monta Ellis,23:26,2,7,0.286,0,0,0,3,4,0.75,0,2,2,0,0,0,2,3,7,-10,GSW,20070422
Matt Barnes,24:57:00,3,4,0.75,2,3,0.667,2,2,1,2,2,4,3,2,1,0,2,10,20,GSW,20070422
Mickael Pietrus,15:40,1,5,0.2,0,3,0,0,0,0,1,2,3,0,0,1,0,2,2,-9,GSW,20070422
Andris Biedrins,7:51,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,2,-3,GSW,20070422
Josh Howard,43:19:00,8,21,0.381,3,4,0.75,2,2,1,4,9,13,2,3,1,2,3,21,1,DAL,20070422
Dirk Nowitzki,38:56:00,4,16,0.25,0,2,0,6,8,0.75,5,7,12,4,2,3,2,2,14,-17,DAL,20070422
Jason Terry,37:13:00,6,14,0.429,1,4,0.25,4,5,0.8,2,2,4,3,1,0,0,2,17,-1,DAL,20070422
Devin Harris,37:03:00,8,18,0.444,0,2,0,3,4,0.75,0,3,3,2,2,0,1,0,19,-8,DAL,20070422
Devean George,31:17:00,3,8,0.375,2,5,0.4,2,2,1,0,5,5,1,1,0,2,4,10,-12,DAL,20070422
Jerry Stackhouse,20:27,0,6,0,0,2,0,0,0,0,0,1,1,3,1,0,5,2,0,-19,DAL,20070422
DeSagana Diop,16:01,1,2,0.5,0,0,0,2,4,0.5,5,1,6,0,0,2,0,5,4,6,DAL,20070422
Greg Buckner,13:23,0,0,0,0,0,0,0,0,0,1,2,3,1,0,0,1,0,0,-10,DAL,20070422
Erick Dampier,2:21,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,DAL,20070422
Kobe Bryant,43:11:00,15,33,0.455,4,8,0.5,5,7,0.714,0,5,5,1,0,0,2,3,39,-13,LAL,20070422
Lamar Odom,40:00:00,8,16,0.5,0,1,0,1,2,0.5,2,14,16,2,0,1,3,3,17,-12,LAL,20070422
Luke Walton,32:44:00,5,8,0.625,0,0,0,0,0,0,3,3,6,6,0,0,1,2,10,-3,LAL,20070422
Jordan Farmar,31:40:00,4,9,0.444,1,4,0.25,0,0,0,0,2,2,2,2,0,1,4,9,-2,LAL,20070422
Kwame Brown,29:10:00,2,6,0.333,0,0,0,0,0,0,4,3,7,1,0,0,1,3,4,9,LAL,20070422
Maurice Evans,15:29,0,3,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,-5,LAL,20070422
Sasha Vujacic,12:25,1,2,0.5,0,1,0,0,0,0,1,2,3,0,0,0,2,2,2,1,LAL,20070422
Andrew Bynum,12:06,3,4,0.75,0,0,0,0,2,0,0,3,3,0,0,0,1,2,6,-8,LAL,20070422
Smush Parker,10:20,0,1,0,0,0,0,0,0,0,0,1,1,1,2,0,1,1,0,-2,LAL,20070422
Ronny Turiaf,6:44,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,-9,LAL,20070422
Brian Cook,6:11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,LAL,20070422
Amar'e Stoudemire,42:22:00,9,16,0.563,0,0,0,5,6,0.833,3,9,12,1,2,2,0,3,23,15,PHO,20070422
Steve Nash,40:36:00,7,17,0.412,2,4,0.5,4,4,1,1,0,1,10,0,0,3,1,20,7,PHO,20070422
Shawn Marion,40:04:00,6,13,0.462,2,4,0.5,2,3,0.667,3,13,16,1,2,1,1,0,16,4,PHO,20070422
Raja Bell,39:15:00,1,6,0.167,0,5,0,0,0,0,0,2,2,1,0,0,0,2,2,9,PHO,20070422
James Jones,15:13,1,3,0.333,0,2,0,1,2,0.5,0,1,1,0,0,0,0,2,3,-7,PHO,20070422
Leandro Barbosa,34:59:00,10,22,0.455,2,7,0.286,4,7,0.571,0,5,5,1,2,0,2,1,26,12,PHO,20070422
Boris Diaw,24:25:00,2,7,0.286,0,1,0,1,2,0.5,1,2,3,4,0,0,2,1,5,6,PHO,20070422
Kurt Thomas,3:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-6,PHO,20070422
Allen Iverson,44:55:00,11,22,0.5,1,3,0.333,8,8,1,0,1,1,5,1,0,3,1,31,5,DEN,20070422
Carmelo Anthony,40:18:00,10,18,0.556,2,4,0.5,8,8,1,2,6,8,0,1,0,2,1,30,6,DEN,20070422
Nene Hilario,37:33:00,5,12,0.417,0,0,0,3,5,0.6,8,4,12,2,2,1,5,3,13,2,DEN,20070422
Marcus Camby,37:04:00,4,9,0.444,0,0,0,0,0,0,1,9,10,3,2,2,2,1,8,9,DEN,20070422
Steve Blake,36:44:00,3,6,0.5,1,2,0.5,0,0,0,0,4,4,3,2,0,2,2,7,10,DEN,20070422
Eduardo Najera,19:49,1,2,0.5,0,0,0,1,2,0.5,3,1,4,0,0,0,0,1,3,2,DEN,20070422
Linas Kleiza,18:53,0,5,0,0,2,0,1,2,0.5,0,4,4,0,0,0,0,2,1,-1,DEN,20070422
J.R. Smith,4:44,1,3,0.333,0,2,0,0,0,0,1,0,1,0,0,0,1,2,2,-3,DEN,20070422
Tim Duncan,39:48:00,7,17,0.412,0,0,0,0,2,0,5,5,10,7,1,3,5,2,14,-9,SAS,20070422
Tony Parker,37:06:00,8,20,0.4,0,1,0,3,4,0.75,3,3,6,8,2,0,2,2,19,-10,SAS,20070422
Michael Finley,33:58:00,6,13,0.462,3,7,0.429,0,0,0,0,0,0,0,0,0,0,0,15,-9,SAS,20070422
Bruce Bowen,19:04,2,3,0.667,1,2,0.5,0,0,0,0,0,0,1,1,0,1,3,5,0,SAS,20070422
Francisco Elson,13:18,0,1,0,0,0,0,0,0,0,1,3,4,0,0,0,1,3,0,-11,SAS,20070422
Manu Ginobili,30:56:00,4,15,0.267,1,5,0.2,0,0,0,3,4,7,2,0,0,2,2,9,-6,SAS,20070422
Robert Horry,24:45:00,5,10,0.5,2,5,0.4,2,2,1,1,0,1,1,1,1,0,2,14,8,SAS,20070422
Fabricio Oberto,15:26,4,4,1,0,0,0,0,0,0,1,5,6,0,0,0,0,2,8,4,SAS,20070422
Brent Barry,12:02,1,3,0.333,1,3,0.333,0,0,0,0,1,1,2,0,0,1,0,3,3,SAS,20070422
Jacque Vaughn,10:54,0,1,0,0,0,0,2,2,1,0,0,0,1,0,0,1,3,2,4,SAS,20070422
Matt Bonner,2:43,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,-4,SAS,20070422
Grant Hill,37:57:00,6,10,0.6,0,0,0,9,13,0.692,2,6,8,4,0,1,1,2,21,-3,ORL,20070423
Hedo Turkoglu,35:54:00,10,14,0.714,2,3,0.667,0,0,0,1,1,2,2,0,2,2,6,22,-6,ORL,20070423
Dwight Howard,35:28:00,3,9,0.333,0,0,0,2,3,0.667,4,7,11,1,0,0,3,3,8,-9,ORL,20070423
Jameer Nelson,29:22:00,3,12,0.25,1,4,0.25,2,3,0.667,1,5,6,3,0,0,2,2,9,-10,ORL,20070423
Tony Battie,27:03:00,2,7,0.286,0,0,0,1,2,0.5,1,3,4,0,0,0,0,3,5,-9,ORL,20070423
Darko Milicic,28:01:00,5,9,0.556,0,0,0,0,0,0,1,5,6,0,0,3,0,2,10,10,ORL,20070423
Carlos Arroyo,19:13,3,8,0.375,0,1,0,2,2,1,1,2,3,4,1,0,0,3,8,3,ORL,20070423
Trevor Ariza,13:47,1,4,0.25,0,0,0,0,2,0,1,0,1,2,0,0,1,2,2,-13,ORL,20070423
Keyon Dooling,13:15,2,3,0.667,0,0,0,1,1,1,0,1,1,3,0,1,0,1,5,-3,ORL,20070423
Richard Hamilton,44:38:00,5,14,0.357,0,2,0,12,14,0.857,1,2,3,6,0,0,0,4,22,14,DET,20070423
Chauncey Billups,41:32:00,7,12,0.583,2,5,0.4,5,6,0.833,0,2,2,8,1,0,1,2,21,10,DET,20070423
Rasheed Wallace,37:04:00,7,15,0.467,3,6,0.5,0,0,0,1,10,11,3,0,3,0,4,17,13,DET,20070423
Tayshaun Prince,35:59:00,7,13,0.538,3,3,1,1,2,0.5,3,3,6,1,0,0,1,4,18,19,DET,20070423
Chris Webber,26:06:00,4,8,0.5,0,0,0,2,3,0.667,6,3,9,3,2,1,1,4,10,6,DET,20070423
Antonio McDyess,32:40:00,2,11,0.182,0,1,0,5,6,0.833,5,6,11,0,1,0,2,2,9,-3,DET,20070423
Carlos Delfino,12:11,0,3,0,0,1,0,1,2,0.5,0,2,2,1,0,0,0,1,1,-11,DET,20070423
Ronald Murray,7:36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,DET,20070423
Lindsey Hunter,2:14,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-7,DET,20070423
Deron Williams,42:59:00,6,13,0.462,1,3,0.333,2,2,1,1,6,7,7,0,0,4,3,15,-18,UTA,20070423
Carlos Boozer,42:06:00,17,30,0.567,0,0,0,7,9,0.778,3,9,12,6,0,0,1,4,41,-6,UTA,20070423
Mehmet Okur,35:11:00,2,9,0.222,0,2,0,0,0,0,4,6,10,6,1,4,1,5,4,-6,UTA,20070423
Derek Fisher,28:11:00,4,8,0.5,0,2,0,1,1,1,0,0,0,4,0,0,2,4,9,6,UTA,20070423
Andrei Kirilenko,17:35,0,3,0,0,1,0,0,0,0,0,3,3,0,0,2,2,5,0,-3,UTA,20070423
Matt Harpring,30:25:00,7,14,0.5,0,0,0,0,1,0,2,2,4,2,1,0,1,2,14,-5,UTA,20070423
Gordan Giricek,24:44:00,2,6,0.333,0,1,0,0,0,0,0,4,4,0,1,0,1,6,4,-4,UTA,20070423
Jarron Collins,10:35,0,0,0,0,0,0,1,2,0.5,1,1,2,1,1,0,0,0,1,-1,UTA,20070423
Paul Millsap,8:08,0,1,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,2,-3,UTA,20070423
Dee Brown,0:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTA,20070423
Rafer Alston,44:50:00,3,9,0.333,1,6,0.167,4,5,0.8,2,4,6,5,0,1,3,2,11,13,HOU,20070423
Shane Battier,41:53:00,3,7,0.429,2,6,0.333,2,2,1,1,1,2,1,2,0,1,4,10,11,HOU,20070423
