Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,??,??,Notes
"Mon, May 14, 2007",8:30 PM,Phoenix Suns,104,San Antonio Spurs,98,Box Score,,
"Tue, May 15, 2007",8:00 PM,Chicago Bulls,108,Detroit Pistons,92,Box Score,,
"Tue, May 15, 2007",8:30 PM,Golden State Warriors,87,Utah Jazz,100,Box Score,,
"Wed, May 16, 2007",8:00 PM,New Jersey Nets,83,Cleveland Cavaliers,72,Box Score,,
"Wed, May 16, 2007",7:30 PM,San Antonio Spurs,88,Phoenix Suns,85,Box Score,,
"Thu, May 17, 2007",7:00 PM,Detroit Pistons,95,Chicago Bulls,85,Box Score,,
"Fri, May 18, 2007",7:00 PM,Cleveland Cavaliers,88,New Jersey Nets,72,Box Score,,
"Fri, May 18, 2007",9:30 PM,Phoenix Suns,106,San Antonio Spurs,114,Box Score,,
"Sun, May 20, 2007",2:30 PM,Utah Jazz,100,San Antonio Spurs,108,Box Score,,
"Mon, May 21, 2007",8:00 PM,Cleveland Cavaliers,76,Detroit Pistons,79,Box Score,,
"Tue, May 22, 2007",8:00 PM,Utah Jazz,96,San Antonio Spurs,105,Box Score,,
"Thu, May 24, 2007",8:00 PM,Cleveland Cavaliers,76,Detroit Pistons,79,Box Score,,
"Sat, May 26, 2007",6:30 PM,San Antonio Spurs,83,Utah Jazz,109,Box Score,,
"Sun, May 27, 2007",8:30 PM,Detroit Pistons,82,Cleveland Cavaliers,88,Box Score,,
"Mon, May 28, 2007",7:00 PM,San Antonio Spurs,91,Utah Jazz,79,Box Score,,
"Tue, May 29, 2007",8:00 PM,Detroit Pistons,87,Cleveland Cavaliers,91,Box Score,,
"Wed, May 30, 2007",8:00 PM,Utah Jazz,84,San Antonio Spurs,109,Box Score,,
"Thu, May 31, 2007",8:00 PM,Cleveland Cavaliers,109,Detroit Pistons,107,Box Score,2OT,
"Sat, Jun 2, 2007",8:30 PM,Detroit Pistons,82,Cleveland Cavaliers,98,Box Score,,
"Thu, Jun 7, 2007",8:00 PM,Cleveland Cavaliers,76,San Antonio Spurs,85,Box Score,,
"Sun, Jun 10, 2007",8:00 PM,Cleveland Cavaliers,92,San Antonio Spurs,103,Box Score,,
"Tue, Jun 12, 2007",9:00 PM,San Antonio Spurs,75,Cleveland Cavaliers,72,Box Score,,
"Thu, Jun 14, 2007",9:00 PM,San Antonio Spurs,83,Cleveland Cavaliers,82,Box Score,,
"Sat, Apr 19, 2008",12:30 PM,Washington Wizards,86,Cleveland Cavaliers,93,Box Score,,
"Sat, Apr 19, 2008",8:30 PM,Utah Jazz,93,Houston Rockets,82,Box Score,,
"Sat, Apr 19, 2008",6:00 PM,Dallas Mavericks,92,New Orleans Hornets,104,Box Score,,
"Sat, Apr 19, 2008",2:00 PM,Phoenix Suns,115,San Antonio Spurs,117,Box Score,2OT,
"Sun, Apr 20, 2008",8:30 PM,Atlanta Hawks,81,Boston Celtics,104,Box Score,,
"Sun, Apr 20, 2008",6:00 PM,Philadelphia 76ers,90,Detroit Pistons,86,Box Score,,
"Sun, Apr 20, 2008",12:00 PM,Denver Nuggets,114,Los Angeles Lakers,128,Box Score,,
"Sun, Apr 20, 2008",12:30 PM,Toronto Raptors,100,Orlando Magic,114,Box Score,,
"Mon, Apr 21, 2008",7:00 PM,Washington Wizards,86,Cleveland Cavaliers,116,Box Score,,
"Mon, Apr 21, 2008",8:30 PM,Utah Jazz,90,Houston Rockets,84,Box Score,,
"Tue, Apr 22, 2008",6:00 PM,Dallas Mavericks,103,New Orleans Hornets,127,Box Score,,
"Tue, Apr 22, 2008",7:30 PM,Toronto Raptors,103,Orlando Magic,104,Box Score,,
"Tue, Apr 22, 2008",8:30 PM,Phoenix Suns,96,San Antonio Spurs,102,Box Score,,
"Wed, Apr 23, 2008",8:00 PM,Atlanta Hawks,77,Boston Celtics,96,Box Score,,
"Wed, Apr 23, 2008",7:30 PM,Philadelphia 76ers,88,Detroit Pistons,105,Box Score,,
"Wed, Apr 23, 2008",7:30 PM,Denver Nuggets,107,Los Angeles Lakers,122,Box Score,,
"Thu, Apr 24, 2008",7:30 PM,Orlando Magic,94,Toronto Raptors,108,Box Score,,
"Thu, Apr 24, 2008",8:30 PM,Houston Rockets,94,Utah Jazz,92,Box Score,,
"Thu, Apr 24, 2008",8:00 PM,Cleveland Cavaliers,72,Washington Wizards,108,Box Score,,
"Fri, Apr 25, 2008",7:00 PM,New Orleans Hornets,87,Dallas Mavericks,97,Box Score,,
"Fri, Apr 25, 2008",7:00 PM,Detroit Pistons,75,Philadelphia 76ers,95,Box Score,,
"Fri, Apr 25, 2008",7:30 PM,San Antonio Spurs,115,Phoenix Suns,99,Box Score,,
"Sat, Apr 26, 2008",8:00 PM,Boston Celtics,93,Atlanta Hawks,102,Box Score,,
"Sat, Apr 26, 2008",3:30 PM,Los Angeles Lakers,102,Denver Nuggets,84,Box Score,,
"Sat, Apr 26, 2008",3:00 PM,Orlando Magic,106,Toronto Raptors,94,Box Score,,
"Sat, Apr 26, 2008",8:30 PM,Houston Rockets,82,Utah Jazz,86,Box Score,,
"Sun, Apr 27, 2008",8:30 PM,New Orleans Hornets,97,Dallas Mavericks,84,Box Score,,
"Sun, Apr 27, 2008",7:00 PM,Detroit Pistons,93,Philadelphia 76ers,84,Box Score,,
"Sun, Apr 27, 2008",1:30 PM,San Antonio Spurs,86,Phoenix Suns,105,Box Score,,
"Sun, Apr 27, 2008",1:00 PM,Cleveland Cavaliers,100,Washington Wizards,97,Box Score,,
"Mon, Apr 28, 2008",8:00 PM,Boston Celtics,92,Atlanta Hawks,97,Box Score,,
"Mon, Apr 28, 2008",8:30 PM,Los Angeles Lakers,107,Denver Nuggets,101,Box Score,,
"Mon, Apr 28, 2008",7:30 PM,Toronto Raptors,92,Orlando Magic,102,Box Score,,
"Tue, Apr 29, 2008",7:00 PM,Philadelphia 76ers,81,Detroit Pistons,98,Box Score,,
"Tue, Apr 29, 2008",8:30 PM,Utah Jazz,69,Houston Rockets,95,Box Score,,
"Tue, Apr 29, 2008",6:00 PM,Dallas Mavericks,94,New Orleans Hornets,99,Box Score,,
"Tue, Apr 29, 2008",8:30 PM,Phoenix Suns,87,San Antonio Spurs,92,Box Score,,
"Wed, Apr 30, 2008",8:30 PM,Atlanta Hawks,85,Boston Celtics,110,Box Score,,
"Wed, Apr 30, 2008",6:00 PM,Washington Wizards,88,Cleveland Cavaliers,87,Box Score,,
"Thu, May 1, 2008",8:00 PM,Detroit Pistons,100,Philadelphia 76ers,77,Box Score,,
"Fri, May 2, 2008",8:00 PM,Boston Celtics,100,Atlanta Hawks,103,Box Score,,
"Fri, May 2, 2008",8:30 PM,Houston Rockets,91,Utah Jazz,113,Box Score,,
"Fri, May 2, 2008",7:00 PM,Cleveland Cavaliers,105,Washington Wizards,88,Box Score,,
"Sat, May 3, 2008",7:30 PM,Orlando Magic,72,Detroit Pistons,91,Box Score,,
"Sat, May 3, 2008",9:00 PM,San Antonio Spurs,82,New Orleans Hornets,101,Box Score,,
"Sun, May 4, 2008",1:00 PM,Atlanta Hawks,65,Boston Celtics,99,Box Score,,
"Sun, May 4, 2008",1:30 PM,Utah Jazz,98,Los Angeles Lakers,109,Box Score,,
"Mon, May 5, 2008",7:00 PM,Orlando Magic,93,Detroit Pistons,100,Box Score,,
"Mon, May 5, 2008",8:30 PM,San Antonio Spurs,84,New Orleans Hornets,102,Box Score,,
"Tue, May 6, 2008",8:00 PM,Cleveland Cavaliers,72,Boston Celtics,76,Box Score,,
"Wed, May 7, 2008",7:30 PM,Utah Jazz,110,Los Angeles Lakers,120,Box Score,,
"Wed, May 7, 2008",8:00 PM,Detroit Pistons,86,Orlando Magic,111,Box Score,,
"Thu, May 8, 2008",7:00 PM,Cleveland Cavaliers,73,Boston Celtics,89,Box Score,,
"Thu, May 8, 2008",8:30 PM,New Orleans Hornets,99,San Antonio Spurs,110,Box Score,,
"Fri, May 9, 2008",7:00 PM,Los Angeles Lakers,99,Utah Jazz,104,Box Score,,
"Sat, May 10, 2008",8:00 PM,Boston Celtics,84,Cleveland Cavaliers,108,Box Score,,
"Sat, May 10, 2008",5:00 PM,Detroit Pistons,90,Orlando Magic,89,Box Score,,
"Sun, May 11, 2008",7:00 PM,New Orleans Hornets,80,San Antonio Spurs,100,Box Score,,
"Sun, May 11, 2008",1:30 PM,Los Angeles Lakers,115,Utah Jazz,123,Box Score,OT,
"Mon, May 12, 2008",8:00 PM,Boston Celtics,77,Cleveland Cavaliers,88,Box Score,,
"Tue, May 13, 2008",7:00 PM,Orlando Magic,86,Detroit Pistons,91,Box Score,,
"Tue, May 13, 2008",8:30 PM,San Antonio Spurs,79,New Orleans Hornets,101,Box Score,,
"Wed, May 14, 2008",8:00 PM,Cleveland Cavaliers,89,Boston Celtics,96,Box Score,,
"Wed, May 14, 2008",7:30 PM,Utah Jazz,104,Los Angeles Lakers,111,Box Score,,
"Thu, May 15, 2008",8:00 PM,New Orleans Hornets,80,San Antonio Spurs,99,Box Score,,
"Fri, May 16, 2008",8:00 PM,Boston Celtics,69,Cleveland Cavaliers,74,Box Score,,
"Fri, May 16, 2008",8:30 PM,Los Angeles Lakers,108,Utah Jazz,105,Box Score,,
"Sun, May 18, 2008",3:30 PM,Cleveland Cavaliers,92,Boston Celtics,97,Box Score,,
"Mon, May 19, 2008",7:30 PM,San Antonio Spurs,91,New Orleans Hornets,82,Box Score,,
"Tue, May 20, 2008",8:30 PM,Detroit Pistons,79,Boston Celtics,88,Box Score,,
"Wed, May 21, 2008",6:00 PM,San Antonio Spurs,85,Los Angeles Lakers,89,Box Score,,
"Thu, May 22, 2008",8:30 PM,Detroit Pistons,103,Boston Celtics,97,Box Score,,
"Fri, May 23, 2008",6:00 PM,San Antonio Spurs,71,Los Angeles Lakers,101,Box Score,,
"Sat, May 24, 2008",8:30 PM,Boston Celtics,94,Detroit Pistons,80,Box Score,,
"Sun, May 25, 2008",7:30 PM,Los Angeles Lakers,84,San Antonio Spurs,103,Box Score,,
"Mon, May 26, 2008",8:30 PM,Boston Celtics,75,Detroit Pistons,94,Box Score,,
"Tue, May 27, 2008",8:00 PM,Los Angeles Lakers,93,San Antonio Spurs,91,Box Score,,
"Wed, May 28, 2008",8:30 PM,Detroit Pistons,102,Boston Celtics,106,Box Score,,
"Thu, May 29, 2008",6:00 PM,San Antonio Spurs,92,Los Angeles Lakers,100,Box Score,,
"Fri, May 30, 2008",8:30 PM,Boston Celtics,89,Detroit Pistons,81,Box Score,,
"Thu, Jun 5, 2008",9:00 PM,Los Angeles Lakers,88,Boston Celtics,98,Box Score,,
"Sun, Jun 8, 2008",9:00 PM,Los Angeles Lakers,102,Boston Celtics,108,Box Score,,
"Tue, Jun 10, 2008",6:00 PM,Boston Celtics,81,Los Angeles Lakers,87,Box Score,,
"Thu, Jun 12, 2008",6:00 PM,Boston Celtics,97,Los Angeles Lakers,91,Box Score,,
"Sun, Jun 15, 2008",6:00 PM,Boston Celtics,98,Los Angeles Lakers,103,Box Score,,
"Tue, Jun 17, 2008",9:00 PM,Los Angeles Lakers,92,Boston Celtics,131,Box Score,,
"Sat, Apr 18, 2009",12:30 PM,Chicago Bulls,105,Boston Celtics,103,Box Score,OT,
"Sat, Apr 18, 2009",3:00 PM,Detroit Pistons,84,Cleveland Cavaliers,102,Box Score,,
"Sat, Apr 18, 2009",7:30 PM,Houston Rockets,108,Portland Trail Blazers,81,Box Score,,
"Sat, Apr 18, 2009",7:00 PM,Dallas Mavericks,105,San Antonio Spurs,97,Box Score,,
"Sun, Apr 19, 2009",8:00 PM,Miami Heat,64,Atlanta Hawks,90,Box Score,,
"Sun, Apr 19, 2009",8:30 PM,New Orleans Hornets,84,Denver Nuggets,113,Box Score,,
"Sun, Apr 19, 2009",12:00 PM,Utah Jazz,100,Los Angeles Lakers,113,Box Score,,
"Sun, Apr 19, 2009",5:30 PM,Philadelphia 76ers,100,Orlando Magic,98,Box Score,,
"Mon, Apr 20, 2009",7:00 PM,Chicago Bulls,115,Boston Celtics,118,Box Score,,
"Mon, Apr 20, 2009",8:30 PM,Dallas Mavericks,84,San Antonio Spurs,105,Box Score,,
"Tue, Apr 21, 2009",8:00 PM,Detroit Pistons,82,Cleveland Cavaliers,94,Box Score,,
"Tue, Apr 21, 2009",7:30 PM,Utah Jazz,109,Los Angeles Lakers,119,Box Score,,
"Tue, Apr 21, 2009",7:00 PM,Houston Rockets,103,Portland Trail Blazers,107,Box Score,,
"Wed, Apr 22, 2009",8:00 PM,Miami Heat,108,Atlanta Hawks,93,Box Score,,
"Wed, Apr 22, 2009",8:30 PM,New Orleans Hornets,93,Denver Nuggets,108,Box Score,,
"Wed, Apr 22, 2009",7:00 PM,Philadelphia 76ers,87,Orlando Magic,96,Box Score,,
"Thu, Apr 23, 2009",7:00 PM,Boston Celtics,107,Chicago Bulls,86,Box Score,,
"Thu, Apr 23, 2009",7:30 PM,San Antonio Spurs,67,Dallas Mavericks,88,Box Score,,
"Thu, Apr 23, 2009",8:30 PM,Los Angeles Lakers,86,Utah Jazz,88,Box Score,,
"Fri, Apr 24, 2009",7:00 PM,Cleveland Cavaliers,79,Detroit Pistons,68,Box Score,,
"Fri, Apr 24, 2009",8:30 PM,Portland Trail Blazers,83,Houston Rockets,86,Box Score,,
"Fri, Apr 24, 2009",8:00 PM,Orlando Magic,94,Philadelphia 76ers,96,Box Score,,
"Sat, Apr 25, 2009",3:00 PM,San Antonio Spurs,90,Dallas Mavericks,99,Box Score,,
"Sat, Apr 25, 2009",6:30 PM,Atlanta Hawks,78,Miami Heat,107,Box Score,,
"Sat, Apr 25, 2009",12:00 PM,Denver Nuggets,93,New Orleans Hornets,95,Box Score,,
"Sat, Apr 25, 2009",7:00 PM,Los Angeles Lakers,108,Utah Jazz,94,Box Score,,
"Sun, Apr 26, 2009",12:00 PM,Boston Celtics,118,Chicago Bulls,121,Box Score,2OT,
"Sun, Apr 26, 2009",3:30 PM,Cleveland Cavaliers,99,Detroit Pistons,78,Box Score,,
"Sun, Apr 26, 2009",8:00 PM,Portland Trail Blazers,88,Houston Rockets,89,Box Score,,
"Sun, Apr 26, 2009",6:30 PM,Orlando Magic,84,Philadelphia 76ers,81,Box Score,,
"Mon, Apr 27, 2009",7:30 PM,Utah Jazz,96,Los Angeles Lakers,107,Box Score,,
"Mon, Apr 27, 2009",8:00 PM,Atlanta Hawks,81,Miami Heat,71,Box Score,,
"Mon, Apr 27, 2009",7:30 PM,Denver Nuggets,121,New Orleans Hornets,63,Box Score,,
"Tue, Apr 28, 2009",7:00 PM,Chicago Bulls,104,Boston Celtics,106,Box Score,OT,
"Tue, Apr 28, 2009",7:30 PM,Philadelphia 76ers,78,Orlando Magic,91,Box Score,,
"Tue, Apr 28, 2009",7:00 PM,Houston Rockets,77,Portland Trail Blazers,88,Box Score,,
"Tue, Apr 28, 2009",8:30 PM,Dallas Mavericks,106,San Antonio Spurs,93,Box Score,,
"Wed, Apr 29, 2009",8:00 PM,Miami Heat,91,Atlanta Hawks,106,Box Score,,
"Wed, Apr 29, 2009",8:30 PM,New Orleans Hornets,86,Denver Nuggets,107,Box Score,,
"Thu, Apr 30, 2009",6:00 PM,Boston Celtics,127,Chicago Bulls,128,Box Score,3OT,
"Thu, Apr 30, 2009",8:30 PM,Portland Trail Blazers,76,Houston Rockets,92,Box Score,,
"Thu, Apr 30, 2009",7:30 PM,Orlando Magic,114,Philadelphia 76ers,89,Box Score,,
"Fri, May 1, 2009",8:00 PM,Atlanta Hawks,72,Miami Heat,98,Box Score,,
"Sat, May 2, 2009",8:00 PM,Chicago Bulls,99,Boston Celtics,109,Box Score,,
"Sun, May 3, 2009",1:00 PM,Miami Heat,78,Atlanta Hawks,91,Box Score,,
"Sun, May 3, 2009",1:30 PM,Dallas Mavericks,95,Denver Nuggets,109,Box Score,,
"Mon, May 4, 2009",8:00 PM,Orlando Magic,95,Boston Celtics,90,Box Score,,
"Mon, May 4, 2009",7:30 PM,Houston Rockets,100,Los Angeles Lakers,92,Box Score,,
"Tue, May 5, 2009",8:00 PM,Atlanta Hawks,72,Cleveland Cavaliers,99,Box Score,,
"Tue, May 5, 2009",8:30 PM,Dallas Mavericks,105,Denver Nuggets,117,Box Score,,
"Wed, May 6, 2009",8:00 PM,Orlando Magic,94,Boston Celtics,112,Box Score,,
"Wed, May 6, 2009",7:30 PM,Houston Rockets,98,Los Angeles Lakers,111,Box Score,,
"Thu, May 7, 2009",8:00 PM,Atlanta Hawks,85,Cleveland Cavaliers,105,Box Score,,
"Fri, May 8, 2009",8:30 PM,Los Angeles Lakers,108,Houston Rockets,94,Box Score,,
"Fri, May 8, 2009",7:00 PM,Boston Celtics,96,Orlando Magic,117,Box Score,,
"Sat, May 9, 2009",8:00 PM,Cleveland Cavaliers,97,Atlanta Hawks,82,Box Score,,
"Sat, May 9, 2009",4:00 PM,Denver Nuggets,106,Dallas Mavericks,105,Box Score,,
"Sun, May 10, 2009",2:30 PM,Los Angeles Lakers,87,Houston Rockets,99,Box Score,,
"Sun, May 10, 2009",8:00 PM,Boston Celtics,95,Orlando Magic,94,Box Score,,
"Mon, May 11, 2009",7:00 PM,Cleveland Cavaliers,84,Atlanta Hawks,74,Box Score,,
"Mon, May 11, 2009",8:30 PM,Denver Nuggets,117,Dallas Mavericks,119,Box Score,,
"Tue, May 12, 2009",8:00 PM,Orlando Magic,88,Boston Celtics,92,Box Score,,
"Tue, May 12, 2009",7:30 PM,Houston Rockets,78,Los Angeles Lakers,118,Box Score,,
"Wed, May 13, 2009",7:00 PM,Dallas Mavericks,110,Denver Nuggets,124,Box Score,,
"Thu, May 14, 2009",8:30 PM,Los Angeles Lakers,80,Houston Rockets,95,Box Score,,
"Thu, May 14, 2009",7:00 PM,Boston Celtics,75,Orlando Magic,83,Box Score,,
"Sun, May 17, 2009",8:00 PM,Orlando Magic,101,Boston Celtics,82,Box Score,,
"Sun, May 17, 2009",12:30 PM,Houston Rockets,70,Los Angeles Lakers,89,Box Score,,
"Tue, May 19, 2009",6:00 PM,Denver Nuggets,103,Los Angeles Lakers,105,Box Score,,
"Wed, May 20, 2009",8:30 PM,Orlando Magic,107,Cleveland Cavaliers,106,Box Score,,
"Thu, May 21, 2009",6:00 PM,Denver Nuggets,106,Los Angeles Lakers,103,Box Score,,
"Fri, May 22, 2009",8:30 PM,Orlando Magic,95,Cleveland Cavaliers,96,Box Score,,
"Sat, May 23, 2009",6:30 PM,Los Angeles Lakers,103,Denver Nuggets,97,Box Score,,
"Sun, May 24, 2009",8:30 PM,Cleveland Cavaliers,89,Orlando Magic,99,Box Score,,
"Mon, May 25, 2009",7:00 PM,Los Angeles Lakers,101,Denver Nuggets,120,Box Score,,
"Tue, May 26, 2009",8:30 PM,Cleveland Cavaliers,114,Orlando Magic,116,Box Score,OT,
"Wed, May 27, 2009",6:00 PM,Denver Nuggets,94,Los Angeles Lakers,103,Box Score,,
"Thu, May 28, 2009",8:30 PM,Orlando Magic,102,Cleveland Cavaliers,112,Box Score,,
"Fri, May 29, 2009",7:00 PM,Los Angeles Lakers,119,Denver Nuggets,92,Box Score,,
"Sat, May 30, 2009",8:30 PM,Cleveland Cavaliers,90,Orlando Magic,103,Box Score,,
"Thu, Jun 4, 2009",6:00 PM,Orlando Magic,75,Los Angeles Lakers,100,Box Score,,
"Sun, Jun 7, 2009",5:00 PM,Orlando Magic,96,Los Angeles Lakers,101,Box Score,OT,
"Tue, Jun 9, 2009",9:00 PM,Los Angeles Lakers,104,Orlando Magic,108,Box Score,,
"Thu, Jun 11, 2009",9:00 PM,Los Angeles Lakers,99,Orlando Magic,91,Box Score,OT,
"Sun, Jun 14, 2009",8:00 PM,Los Angeles Lakers,99,Orlando Magic,86,Box Score,,
"Sat, Apr 17, 2010",5:30 PM,Milwaukee Bucks,92,Atlanta Hawks,102,Box Score,,
"Sat, Apr 17, 2010",8:00 PM,Miami Heat,76,Boston Celtics,85,Box Score,,
"Sat, Apr 17, 2010",3:00 PM,Chicago Bulls,83,Cleveland Cavaliers,96,Box Score,,
"Sat, Apr 17, 2010",8:30 PM,Utah Jazz,113,Denver Nuggets,126,Box Score,,
"Sun, Apr 18, 2010",7:00 PM,San Antonio Spurs,94,Dallas Mavericks,100,Box Score,,
"Sun, Apr 18, 2010",12:00 PM,Oklahoma City Thunder,79,Los Angeles Lakers,87,Box Score,,
"Sun, Apr 18, 2010",5:30 PM,Charlotte Bobcats,89,Orlando Magic,98,Box Score,,
"Sun, Apr 18, 2010",7:30 PM,Portland Trail Blazers,105,Phoenix Suns,100,Box Score,,
"Mon, Apr 19, 2010",8:00 PM,Chicago Bulls,102,Cleveland Cavaliers,112,Box Score,,
"Mon, Apr 19, 2010",8:30 PM,Utah Jazz,114,Denver Nuggets,111,Box Score,,
"Tue, Apr 20, 2010",7:00 PM,Milwaukee Bucks,86,Atlanta Hawks,96,Box Score,,
"Tue, Apr 20, 2010",8:00 PM,Miami Heat,77,Boston Celtics,106,Box Score,,
"Tue, Apr 20, 2010",7:30 PM,Oklahoma City Thunder,92,Los Angeles Lakers,95,Box Score,,
"Tue, Apr 20, 2010",7:00 PM,Portland Trail Blazers,90,Phoenix Suns,119,Box Score,,
"Wed, Apr 21, 2010",8:30 PM,San Antonio Spurs,102,Dallas Mavericks,88,Box Score,,
"Wed, Apr 21, 2010",7:00 PM,Charlotte Bobcats,77,Orlando Magic,92,Box Score,,
"Thu, Apr 22, 2010",6:00 PM,Cleveland Cavaliers,106,Chicago Bulls,108,Box Score,,
"Thu, Apr 22, 2010",8:30 PM,Los Angeles Lakers,96,Oklahoma City Thunder,101,Box Score,,
"Thu, Apr 22, 2010",7:00 PM,Phoenix Suns,108,Portland Trail Blazers,89,Box Score,,
"Fri, Apr 23, 2010",7:00 PM,Boston Celtics,100,Miami Heat,98,Box Score,,
"Fri, Apr 23, 2010",8:30 PM,Dallas Mavericks,90,San Antonio Spurs,94,Box Score,,
"Fri, Apr 23, 2010",8:30 PM,Denver Nuggets,93,Utah Jazz,105,Box Score,,
"Sat, Apr 24, 2010",2:00 PM,Orlando Magic,90,Charlotte Bobcats,86,Box Score,,
"Sat, Apr 24, 2010",6:00 PM,Atlanta Hawks,89,Milwaukee Bucks,107,Box Score,,
"Sat, Apr 24, 2010",8:30 PM,Los Angeles Lakers,89,Oklahoma City Thunder,110,Box Score,,
"Sat, Apr 24, 2010",1:30 PM,Phoenix Suns,87,Portland Trail Blazers,96,Box Score,,
"Sun, Apr 25, 2010",2:30 PM,Cleveland Cavaliers,121,Chicago Bulls,98,Box Score,,
"Sun, Apr 25, 2010",1:00 PM,Boston Celtics,92,Miami Heat,101,Box Score,,
"Sun, Apr 25, 2010",6:00 PM,Dallas Mavericks,89,San Antonio Spurs,92,Box Score,,
"Sun, Apr 25, 2010",7:30 PM,Denver Nuggets,106,Utah Jazz,117,Box Score,,
"Mon, Apr 26, 2010",8:00 PM,Orlando Magic,99,Charlotte Bobcats,90,Box Score,,
"Mon, Apr 26, 2010",7:30 PM,Atlanta Hawks,104,Milwaukee Bucks,111,Box Score,,
"Mon, Apr 26, 2010",7:30 PM,Portland Trail Blazers,88,Phoenix Suns,107,Box Score,,
"Tue, Apr 27, 2010",7:00 PM,Miami Heat,86,Boston Celtics,96,Box Score,,
"Tue, Apr 27, 2010",8:00 PM,Chicago Bulls,94,Cleveland Cavaliers,96,Box Score,,
"Tue, Apr 27, 2010",8:30 PM,San Antonio Spurs,81,Dallas Mavericks,103,Box Score,,
"Tue, Apr 27, 2010",7:30 PM,Oklahoma City Thunder,87,Los Angeles Lakers,111,Box Score,,
"Wed, Apr 28, 2010",8:00 PM,Milwaukee Bucks,91,Atlanta Hawks,87,Box Score,,
"Wed, Apr 28, 2010",8:30 PM,Utah Jazz,102,Denver Nuggets,116,Box Score,,
"Thu, Apr 29, 2010",7:30 PM,Phoenix Suns,99,Portland Trail Blazers,90,Box Score,,
"Thu, Apr 29, 2010",7:00 PM,Dallas Mavericks,87,San Antonio Spurs,97,Box Score,,
"Fri, Apr 30, 2010",6:00 PM,Atlanta Hawks,83,Milwaukee Bucks,69,Box Score,,
"Fri, Apr 30, 2010",8:30 PM,Los Angeles Lakers,95,Oklahoma City Thunder,94,Box Score,,
"Fri, Apr 30, 2010",8:00 PM,Denver Nuggets,104,Utah Jazz,112,Box Score,,
"Sat, May 1, 2010",8:00 PM,Boston Celtics,93,Cleveland Cavaliers,101,Box Score,,
"Sun, May 2, 2010",1:00 PM,Milwaukee Bucks,74,Atlanta Hawks,95,Box Score,,
"Sun, May 2, 2010",12:30 PM,Utah Jazz,99,Los Angeles Lakers,104,Box Score,,
"Mon, May 3, 2010",8:00 PM,Boston Celtics,104,Cleveland Cavaliers,86,Box Score,,
"Mon, May 3, 2010",7:30 PM,San Antonio Spurs,102,Phoenix Suns,111,Box Score,,
"Tue, May 4, 2010",7:30 PM,Utah Jazz,103,Los Angeles Lakers,111,Box Score,,
"Tue, May 4, 2010",8:00 PM,Atlanta Hawks,71,Orlando Magic,114,Box Score,,
"Wed, May 5, 2010",6:00 PM,San Antonio Spurs,102,Phoenix Suns,110,Box Score,,
"Thu, May 6, 2010",8:00 PM,Atlanta Hawks,98,Orlando Magic,112,Box Score,,
"Fri, May 7, 2010",7:00 PM,Cleveland Cavaliers,124,Boston Celtics,95,Box Score,,
"Fri, May 7, 2010",8:30 PM,Phoenix Suns,110,San Antonio Spurs,96,Box Score,,
"Sat, May 8, 2010",5:00 PM,Orlando Magic,105,Atlanta Hawks,75,Box Score,,
"Sat, May 8, 2010",6:00 PM,Los Angeles Lakers,111,Utah Jazz,110,Box Score,,
"Sun, May 9, 2010",3:30 PM,Cleveland Cavaliers,87,Boston Celtics,97,Box Score,,
"Sun, May 9, 2010",7:00 PM,Phoenix Suns,107,San Antonio Spurs,101,Box Score,,
"Mon, May 10, 2010",8:00 PM,Orlando Magic,98,Atlanta Hawks,84,Box Score,,
"Mon, May 10, 2010",8:30 PM,Los Angeles Lakers,111,Utah Jazz,96,Box Score,,
"Tue, May 11, 2010",8:00 PM,Boston Celtics,120,Cleveland Cavaliers,88,Box Score,,
"Thu, May 13, 2010",8:00 PM,Cleveland Cavaliers,85,Boston Celtics,94,Box Score,,
"Sun, May 16, 2010",3:30 PM,Boston Celtics,92,Orlando Magic,88,Box Score,,
"Mon, May 17, 2010",6:00 PM,Phoenix Suns,107,Los Angeles Lakers,128,Box Score,,
"Tue, May 18, 2010",8:30 PM,Boston Celtics,95,Orlando Magic,92,Box Score,,
"Wed, May 19, 2010",6:00 PM,Phoenix Suns,112,Los Angeles Lakers,124,Box Score,,
"Sat, May 22, 2010",8:30 PM,Orlando Magic,71,Boston Celtics,94,Box Score,,
"Sun, May 23, 2010",5:30 PM,Los Angeles Lakers,109,Phoenix Suns,118,Box Score,,
"Mon, May 24, 2010",8:30 PM,Orlando Magic,96,Boston Celtics,92,Box Score,OT,
"Tue, May 25, 2010",6:00 PM,Los Angeles Lakers,106,Phoenix Suns,115,Box Score,,
"Wed, May 26, 2010",8:30 PM,Boston Celtics,92,Orlando Magic,113,Box Score,,
"Thu, May 27, 2010",6:00 PM,Phoenix Suns,101,Los Angeles Lakers,103,Box Score,,
"Fri, May 28, 2010",8:30 PM,Orlando Magic,84,Boston Celtics,96,Box Score,,
"Sat, May 29, 2010",5:30 PM,Los Angeles Lakers,111,Phoenix Suns,103,Box Score,,
"Thu, Jun 3, 2010",6:00 PM,Boston Celtics,89,Los Angeles Lakers,102,Box Score,,
"Sun, Jun 6, 2010",5:00 PM,Boston Celtics,103,Los Angeles Lakers,94,Box Score,,
"Tue, Jun 8, 2010",9:00 PM,Los Angeles Lakers,91,Boston Celtics,84,Box Score,,
