Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,??,??,Notes
"Tue, May 7, 2002",8:00 PM,Charlotte Hornets,88,New Jersey Nets,102,Box Score,,
"Wed, May 8, 2002",8:00 PM,Boston Celtics,85,Detroit Pistons,77,Box Score,,
"Thu, May 9, 2002",7:00 PM,New Jersey Nets,97,Charlotte Hornets,115,Box Score,,
"Thu, May 9, 2002",8:30 PM,Sacramento Kings,125,Dallas Mavericks,119,Box Score,,
"Fri, May 10, 2002",7:00 PM,Detroit Pistons,64,Boston Celtics,66,Box Score,,
"Fri, May 10, 2002",8:30 PM,Los Angeles Lakers,99,San Antonio Spurs,89,Box Score,,
"Sat, May 11, 2002",2:30 PM,Sacramento Kings,115,Dallas Mavericks,113,Box Score,OT,
"Sun, May 12, 2002",3:00 PM,Detroit Pistons,79,Boston Celtics,90,Box Score,,
"Sun, May 12, 2002",12:30 PM,New Jersey Nets,89,Charlotte Hornets,79,Box Score,,
"Sun, May 12, 2002",4:30 PM,Los Angeles Lakers,87,San Antonio Spurs,85,Box Score,,
"Mon, May 13, 2002",6:00 PM,Dallas Mavericks,101,Sacramento Kings,114,Box Score,,
"Tue, May 14, 2002",8:00 PM,Boston Celtics,90,Detroit Pistons,81,Box Score,,
"Tue, May 14, 2002",7:30 PM,San Antonio Spurs,87,Los Angeles Lakers,93,Box Score,,
"Wed, May 15, 2002",8:00 PM,Charlotte Hornets,95,New Jersey Nets,103,Box Score,,
"Sat, May 18, 2002",3:30 PM,Los Angeles Lakers,106,Sacramento Kings,99,Box Score,,
"Sun, May 19, 2002",5:30 PM,Boston Celtics,97,New Jersey Nets,104,Box Score,,
"Mon, May 20, 2002",6:30 PM,Los Angeles Lakers,90,Sacramento Kings,96,Box Score,,
"Tue, May 21, 2002",8:30 PM,Boston Celtics,93,New Jersey Nets,86,Box Score,,
"Fri, May 24, 2002",6:00 PM,Sacramento Kings,103,Los Angeles Lakers,90,Box Score,,
"Sat, May 25, 2002",5:30 PM,New Jersey Nets,90,Boston Celtics,94,Box Score,,
"Sun, May 26, 2002",2:30 PM,Sacramento Kings,99,Los Angeles Lakers,100,Box Score,,
"Mon, May 27, 2002",5:30 PM,New Jersey Nets,94,Boston Celtics,92,Box Score,,
"Tue, May 28, 2002",6:00 PM,Los Angeles Lakers,91,Sacramento Kings,92,Box Score,,
"Wed, May 29, 2002",9:00 PM,Boston Celtics,92,New Jersey Nets,103,Box Score,,
"Fri, May 31, 2002",7:00 PM,New Jersey Nets,96,Boston Celtics,88,Box Score,,
"Fri, May 31, 2002",6:30 PM,Sacramento Kings,102,Los Angeles Lakers,106,Box Score,,
"Sun, Jun 2, 2002",4:30 PM,Los Angeles Lakers,112,Sacramento Kings,106,Box Score,OT,
"Wed, Jun 5, 2002",6:00 PM,New Jersey Nets,94,Los Angeles Lakers,99,Box Score,,
"Fri, Jun 7, 2002",6:00 PM,New Jersey Nets,83,Los Angeles Lakers,106,Box Score,,
"Sun, Jun 9, 2002",8:30 PM,Los Angeles Lakers,106,New Jersey Nets,103,Box Score,,
"Wed, Jun 12, 2002",9:00 PM,Los Angeles Lakers,113,New Jersey Nets,107,Box Score,,
"Sat, Apr 19, 2003",7:00 PM,Portland Trail Blazers,86,Dallas Mavericks,96,Box Score,,
"Sat, Apr 19, 2003",2:00 PM,Boston Celtics,103,Indiana Pacers,100,Box Score,,
"Sat, Apr 19, 2003",12:30 PM,Milwaukee Bucks,96,New Jersey Nets,109,Box Score,,
"Sat, Apr 19, 2003",7:30 PM,Utah Jazz,90,Sacramento Kings,96,Box Score,,
"Sat, Apr 19, 2003",4:30 PM,Phoenix Suns,96,San Antonio Spurs,95,Box Score,OT,
"Sun, Apr 20, 2003",12:30 PM,Orlando Magic,99,Detroit Pistons,94,Box Score,,
"Sun, Apr 20, 2003",2:30 PM,Los Angeles Lakers,117,Minnesota Timberwolves,98,Box Score,,
"Sun, Apr 20, 2003",8:00 PM,New Orleans Hornets,90,Philadelphia 76ers,98,Box Score,,
"Mon, Apr 21, 2003",7:30 PM,Boston Celtics,77,Indiana Pacers,89,Box Score,,
