Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,??,??,Notes,,,,
"Fri, Nov 10, 2000",7:00 PM,Indiana Pacers,86,Washington Wizards,74,Box Score,,,,,,
"Sat, Nov 11, 2000",7:30 PM,Toronto Raptors,98,Chicago Bulls,75,Box Score,,,,,,
"Sat, Nov 11, 2000",7:30 PM,Washington Wizards,73,Cleveland Cavaliers,86,Box Score,,,,,,
"Sat, Nov 11, 2000",7:00 PM,Detroit Pistons,84,Indiana Pacers,94,Box Score,,,,,,
"Sat, Nov 11, 2000",7:30 PM,Minnesota Timberwolves,103,Milwaukee Bucks,92,Box Score,,,,,,
"Sat, Nov 11, 2000",1:00 PM,Seattle SuperSonics,91,New Jersey Nets,126,Box Score,,,,,,
"Sat, Nov 11, 2000",7:30 PM,Charlotte Hornets,67,New York Knicks,81,Box Score,,,,,,
"Sat, Nov 11, 2000",8:00 PM,Boston Celtics,83,Philadelphia 76ers,85,Box Score,,,,,,
"Sat, Nov 11, 2000",7:00 PM,Miami Heat,82,Phoenix Suns,84,Box Score,,,,,,
"Sat, Nov 11, 2000",7:00 PM,Houston Rockets,88,Portland Trail Blazers,111,Box Score,,,,,,
"Sat, Nov 11, 2000",7:30 PM,Vancouver Grizzlies,78,San Antonio Spurs,91,Box Score,,,,,,
"Sun, Nov 12, 2000",7:00 PM,Los Angeles Clippers,79,Denver Nuggets,95,Box Score,,,,,,
"Sun, Nov 12, 2000",6:00 PM,Seattle SuperSonics,92,Detroit Pistons,101,Box Score,,,,,,
"Sun, Nov 12, 2000",6:00 PM,Orlando Magic,105,Golden State Warriors,99,Box Score,OT,,,,,
"Sun, Nov 12, 2000",6:30 PM,Houston Rockets,99,Los Angeles Lakers,105,Box Score,,,,,,
"Sun, Nov 12, 2000",6:00 PM,Dallas Mavericks,84,Sacramento Kings,109,Box Score,,,,,,
"Mon, Nov 13, 2000",7:30 PM,Dallas Mavericks,90,Los Angeles Clippers,76,Box Score,,,,,,
"Mon, Nov 13, 2000",7:30 PM,Portland Trail Blazers,94,New Jersey Nets,82,Box Score,,,,,,
"Tue, Nov 14, 2000",7:30 PM,Portland Trail Blazers,97,Atlanta Hawks,99,Box Score,,,,,,
"Tue, Nov 14, 2000",7:30 PM,Golden State Warriors,86,Cleveland Cavaliers,96,Box Score,,,,,,
"Tue, Nov 14, 2000",7:30 PM,Chicago Bulls,83,Houston Rockets,110,Box Score,,,,,,
"Tue, Nov 14, 2000",7:30 PM,Denver Nuggets,103,Los Angeles Lakers,119,Box Score,,,,,,
"Tue, Nov 14, 2000",7:30 PM,Charlotte Hornets,86,Miami Heat,89,Box Score,OT,,,,,
"Tue, Nov 14, 2000",5:00 PM,Orlando Magic,82,Sacramento Kings,96,Box Score,,,,,,
"Tue, Nov 14, 2000",7:30 PM,Utah Jazz,79,San Antonio Spurs,86,Box Score,,,,,,
"Tue, Nov 14, 2000",7:30 PM,New York Knicks,75,Seattle SuperSonics,96,Box Score,,,,,,
"Wed, Nov 15, 2000",7:00 PM,Washington Wizards,109,Boston Celtics,116,Box Score,,,,,,
"Wed, Nov 15, 2000",7:30 PM,Indiana Pacers,92,Detroit Pistons,88,Box Score,,,,,,
"Wed, Nov 15, 2000",7:30 PM,New York Knicks,74,Los Angeles Clippers,78,Box Score,,,,,,
"Wed, Nov 15, 2000",7:00 PM,Atlanta Hawks,74,Milwaukee Bucks,84,Box Score,,,,,,
"Wed, Nov 15, 2000",7:00 PM,Golden State Warriors,90,Minnesota Timberwolves,92,Box Score,,,,,,
"Wed, Nov 15, 2000",8:00 PM,Miami Heat,91,New Jersey Nets,93,Box Score,,,,,,
"Wed, Nov 15, 2000",7:00 PM,Cleveland Cavaliers,98,Philadelphia 76ers,107,Box Score,,,,,,
"Wed, Nov 15, 2000",7:00 PM,Dallas Mavericks,78,Phoenix Suns,99,Box Score,,,,,,
"Thu, Nov 16, 2000",7:00 PM,Chicago Bulls,85,Denver Nuggets,89,Box Score,,,,,,
"Thu, Nov 16, 2000",7:30 PM,Charlotte Hornets,80,Houston Rockets,84,Box Score,,,,,,
"Thu, Nov 16, 2000",5:00 PM,Los Angeles Lakers,112,Sacramento Kings,110,Box Score,OT,,,,,
"Thu, Nov 16, 2000",7:00 PM,Portland Trail Blazers,86,Toronto Raptors,80,Box Score,,,,,,
"Thu, Nov 16, 2000",7:00 PM,Orlando Magic,84,Utah Jazz,99,Box Score,,,,,,
"Thu, Nov 16, 2000",7:00 PM,Los Angeles Clippers,76,Vancouver Grizzlies,72,Box Score,,,,,,
"Thu, Nov 16, 2000",7:00 PM,San Antonio Spurs,99,Washington Wizards,95,Box Score,,,,,,
"Fri, Nov 17, 2000",7:30 PM,Atlanta Hawks,99,Boston Celtics,106,Box Score,,,,,,
"Fri, Nov 17, 2000",7:30 PM,Detroit Pistons,96,Charlotte Hornets,89,Box Score,,,,,,
"Fri, Nov 17, 2000",7:00 PM,Golden State Warriors,92,Indiana Pacers,90,Box Score,,,,,,
"Fri, Nov 17, 2000",7:30 PM,Cleveland Cavaliers,76,Milwaukee Bucks,89,Box Score,,,,,,
"Fri, Nov 17, 2000",7:00 PM,San Antonio Spurs,94,Minnesota Timberwolves,99,Box Score,OT,,,,,
"Fri, Nov 17, 2000",7:00 PM,Miami Heat,73,Philadelphia 76ers,94,Box Score,,,,,,
"Fri, Nov 17, 2000",7:00 PM,New York Knicks,90,Phoenix Suns,85,Box Score,,,,,,
"Fri, Nov 17, 2000",7:00 PM,Dallas Mavericks,99,Seattle SuperSonics,95,Box Score,,,,,,
"Sat, Nov 18, 2000",7:30 PM,Minnesota Timberwolves,94,Atlanta Hawks,84,Box Score,,,,,,
"Sat, Nov 18, 2000",7:00 PM,Los Angeles Lakers,86,Denver Nuggets,87,Box Score,,,,,,
"Sat, Nov 18, 2000",7:30 PM,Phoenix Suns,89,Houston Rockets,94,Box Score,,,,,,
"Sat, Nov 18, 2000",7:30 PM,Seattle SuperSonics,86,Los Angeles Clippers,83,Box Score,,,,,,
"Sat, Nov 18, 2000",7:30 PM,Portland Trail Blazers,80,Miami Heat,86,Box Score,,,,,,
"Sat, Nov 18, 2000",8:00 PM,Indiana Pacers,92,New Jersey Nets,97,Box Score,,,,,,
"Sat, Nov 18, 2000",7:00 PM,Milwaukee Bucks,102,Toronto Raptors,111,Box Score,,,,,,
"Sat, Nov 18, 2000",7:00 PM,Chicago Bulls,64,Utah Jazz,109,Box Score,,,,,,
"Sat, Nov 18, 2000",7:00 PM,Dallas Mavericks,91,Vancouver Grizzlies,88,Box Score,,,,,,
"Sat, Nov 18, 2000",7:00 PM,Boston Celtics,89,Washington Wizards,109,Box Score,,,,,,
"Sun, Nov 19, 2000",7:00 PM,Charlotte Hornets,105,Detroit Pistons,96,Box Score,,,,,,
"Sun, Nov 19, 2000",6:30 PM,Chicago Bulls,96,Los Angeles Lakers,104,Box Score,,,,,,
"Sun, Nov 19, 2000",8:00 PM,Golden State Warriors,71,New York Knicks,88,Box Score,,,,,,
"Sun, Nov 19, 2000",6:00 PM,Portland Trail Blazers,110,Orlando Magic,102,Box Score,OT,,,,,
"Mon, Nov 20, 2000",7:00 PM,Philadelphia 76ers,114,Boston Celtics,90,Box Score,,,,,,
"Mon, Nov 20, 2000",7:30 PM,New Jersey Nets,86,Los Angeles Clippers,85,Box Score,,,,,,
"Mon, Nov 20, 2000",7:00 PM,Charlotte Hornets,100,Toronto Raptors,64,Box Score,,,,,,
"Mon, Nov 20, 2000",7:00 PM,Dallas Mavericks,107,Utah Jazz,98,Box Score,,,,,,
"Mon, Nov 20, 2000",7:00 PM,Denver Nuggets,95,Vancouver Grizzlies,92,Box Score,,,,,,
"Tue, Nov 21, 2000",7:30 PM,Detroit Pistons,98,Cleveland Cavaliers,117,Box Score,,,,,,
"Tue, Nov 21, 2000",7:00 PM,Seattle SuperSonics,116,Dallas Mavericks,110,Box Score,,,,,,
"Tue, Nov 21, 2000",7:30 PM,Chicago Bulls,77,Golden State Warriors,89,Box Score,,,,,,
"Tue, Nov 21, 2000",7:00 PM,Houston Rockets,101,Indiana Pacers,89,Box Score,,,,,,
"Tue, Nov 21, 2000",8:00 PM,New York Knicks,85,Orlando Magic,84,Box Score,,,,,,
"Tue, Nov 21, 2000",7:00 PM,Portland Trail Blazers,104,Washington Wizards,94,Box Score,,,,,,
